begin timestamp : 1700706240.3665137; tag : query; duration : 0.12259602546691895; package_0 : 6678488.0; package_1 : 7699812.0; core_0 : 61.0; core_1 : 0.0; nvidia_gpu_0 : 5668
begin timestamp : 1700706240.4919882; tag : query; duration : 0.14683008193969727; package_0 : 8044018.0; package_1 : 9276452.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6771
begin timestamp : 1700706240.6425626; tag : query; duration : 0.14165258407592773; package_0 : 7730314.0; package_1 : 8898161.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6570
begin timestamp : 1700706240.7874265; tag : query; duration : 0.13892054557800293; package_0 : 7609622.0; package_1 : 8767445.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6413
begin timestamp : 1700706240.9292104; tag : query; duration : 0.1553194522857666; package_0 : 8483433.0; package_1 : 9787763.0; core_0 : 457.0; core_1 : 0.0; nvidia_gpu_0 : 7160
begin timestamp : 1700706241.0874012; tag : query; duration : 0.14776039123535156; package_0 : 8099038.0; package_1 : 9345449.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6922
begin timestamp : 1700706241.2409594; tag : query; duration : 0.16422152519226074; package_0 : 8974496.0; package_1 : 10360487.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7562
begin timestamp : 1700706241.4080484; tag : query; duration : 0.17232251167297363; package_0 : 9423860.0; package_1 : 10909332.0; core_0 : 428.0; core_1 : 0.0; nvidia_gpu_0 : 7907
begin timestamp : 1700706241.5832493; tag : query; duration : 0.14040708541870117; package_0 : 7717893.0; package_1 : 8910901.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6498
begin timestamp : 1700706241.7265522; tag : query; duration : 0.1311945915222168; package_0 : 7181682.0; package_1 : 8268371.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6152
begin timestamp : 1700706241.8620567; tag : query; duration : 0.14725351333618164; package_0 : 8045497.0; package_1 : 9284524.0; core_0 : 457.0; core_1 : 0.0; nvidia_gpu_0 : 6806
begin timestamp : 1700706242.0121922; tag : query; duration : 0.16321682929992676; package_0 : 8865600.0; package_1 : 10232167.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7547
begin timestamp : 1700706242.1783047; tag : query; duration : 0.12768292427062988; package_0 : 7006505.0; package_1 : 8130881.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 5640
begin timestamp : 1700706242.3088307; tag : query; duration : 0.15117955207824707; package_0 : 8285430.0; package_1 : 9685183.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7052
begin timestamp : 1700706242.4632533; tag : query; duration : 0.14806604385375977; package_0 : 8109474.0; package_1 : 9344487.0; core_0 : 16.0; core_1 : 0.0; nvidia_gpu_0 : 6834
begin timestamp : 1700706242.6141965; tag : query; duration : 0.12423062324523926; package_0 : 6806868.0; package_1 : 7831916.0; core_0 : 1327.0; core_1 : 0.0; nvidia_gpu_0 : 5841
begin timestamp : 1700706242.7436006; tag : query; duration : 0.13931965827941895; package_0 : 7608462.0; package_1 : 8783268.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6414
