begin timestamp : 1700709329.0537505; tag : query; duration : 0.8195533752441406; package_0 : 72076931.0; package_1 : 71587621.0; core_0 : 500325.0; core_1 : 507115.0; nvidia_gpu_0 : 19627
begin timestamp : 1700709329.876394; tag : query; duration : 0.9225661754608154; package_0 : 81030035.0; package_1 : 78941977.0; core_0 : 538516.0; core_1 : 567628.0; nvidia_gpu_0 : 22530
begin timestamp : 1700709330.8020914; tag : query; duration : 0.9355816841125488; package_0 : 82137354.0; package_1 : 80491183.0; core_0 : 542422.0; core_1 : 586182.0; nvidia_gpu_0 : 22493
begin timestamp : 1700709331.7408144; tag : query; duration : 1.0429575443267822; package_0 : 91954061.0; package_1 : 88627634.0; core_0 : 620863.0; core_1 : 648495.0; nvidia_gpu_0 : 25482
begin timestamp : 1700709332.787421; tag : query; duration : 0.9707114696502686; package_0 : 85107430.0; package_1 : 82777473.0; core_0 : 558901.0; core_1 : 588867.0; nvidia_gpu_0 : 23898
begin timestamp : 1700709333.768601; tag : query; duration : 0.9981012344360352; package_0 : 89151197.0; package_1 : 86038839.0; core_0 : 633756.0; core_1 : 620436.0; nvidia_gpu_0 : 24440
begin timestamp : 1700709334.772664; tag : query; duration : 1.260819435119629; package_0 : 110743708.0; package_1 : 109342826.0; core_0 : 752723.0; core_1 : 779195.0; nvidia_gpu_0 : 30783
begin timestamp : 1700709336.037449; tag : query; duration : 0.8458819389343262; package_0 : 74683637.0; package_1 : 73298364.0; core_0 : 494435.0; core_1 : 536258.0; nvidia_gpu_0 : 20665
begin timestamp : 1700709336.8864975; tag : query; duration : 1.0044353008270264; package_0 : 88407979.0; package_1 : 87585680.0; core_0 : 597061.0; core_1 : 638730.0; nvidia_gpu_0 : 24523
begin timestamp : 1700709337.8940384; tag : query; duration : 1.0419142246246338; package_0 : 91437196.0; package_1 : 88980460.0; core_0 : 614546.0; core_1 : 646039.0; nvidia_gpu_0 : 25436
begin timestamp : 1700709338.9391217; tag : query; duration : 0.5842151641845703; package_0 : 52229523.0; package_1 : 51358199.0; core_0 : 342664.0; core_1 : 374644.0; nvidia_gpu_0 : 14296
begin timestamp : 1700709339.5264773; tag : query; duration : 1.026773452758789; package_0 : 90100778.0; package_1 : 87438150.0; core_0 : 602630.0; core_1 : 631391.0; nvidia_gpu_0 : 25065
begin timestamp : 1700709340.556358; tag : query; duration : 1.191728115081787; package_0 : 104774626.0; package_1 : 104138169.0; core_0 : 701105.0; core_1 : 809453.0; nvidia_gpu_0 : 28966
begin timestamp : 1700709341.7624588; tag : query; duration : 0.8503596782684326; package_0 : 74898440.0; package_1 : 73114917.0; core_0 : 492925.0; core_1 : 521961.0; nvidia_gpu_0 : 20777
begin timestamp : 1700709342.6160955; tag : query; duration : 0.9710445404052734; package_0 : 84836678.0; package_1 : 82984966.0; core_0 : 561540.0; core_1 : 587509.0; nvidia_gpu_0 : 23472
begin timestamp : 1700709343.5963972; tag : query; duration : 0.7980268001556396; package_0 : 70582959.0; package_1 : 69770195.0; core_0 : 461371.0; core_1 : 494832.0; nvidia_gpu_0 : 19573
begin timestamp : 1700709344.40054; tag : query; duration : 0.9202990531921387; package_0 : 80822297.0; package_1 : 79044725.0; core_0 : 534503.0; core_1 : 562074.0; nvidia_gpu_0 : 22505
begin timestamp : 1700709345.323962; tag : query; duration : 1.2127094268798828; package_0 : 105619737.0; package_1 : 103186238.0; core_0 : 717583.0; core_1 : 739509.0; nvidia_gpu_0 : 29738
